ID,Titel,Autor_in,Geburtsort,Breitengrad,Längengrad,Erscheinungsjahr,Iso-alpha,Groesse
17,"Girl, Woman, Other",Bernadine Evaristo,"London, GB-ENG",5.152.659.925.857.100,-1.139.950.691.281.670,2019,GBR,5
18,Crazy rich asians,Kevin Kwan,"Singapur, SG",13.565.566.175.979.300,10.386.620.844.056.600,2013,SGP,5
19,The complete Sherlock Holmes,Sir Arthur Conan Doyle,"Edinburgh, GB-SCT",5.595.599.088.976.440,-31.881.747.472.344,1914,GBR,5
20,This is how it always is,Laurie Frankel,-,,,2017,-,5
21,Die Berufene,M. R. Carey,"Liverpool, GB-ENG",5.339.817.769.938.880,-2.898.214.924.526.050,2014,GBR,5
22,Carry On,Rainbow Rowell,-,,,2015,-,5
23,The Hundred-Foot Journey,Richard C. Morais,"Lissabon, PT",387.341.322.230.288,-913.253.251.075.313,2008,PRT,5
24,Normal People,Sally Rooney,"Castlebar, IR",53.848.030.554.149.300,-9.284.544.380.263.690,2018,IRL,5
25,Conversations with friends,Sally Rooney,"Castlebar, IR",53.848.030.554.149.300,-9.284.544.380.263.690,2017,IRL,5
26,History is all you left me,Adam Silvera,"New York City, USA",4.061.171.771.741.720,-7.398.796.541.164.560,2017,USA,5
27,Ich. darf. nicht. schlafen,S. J. Watson,"London, GB-ENG",5.152.659.925.857.100,-1.139.950.691.281.670,2014,GBR,5
28,The Great Gatsby,F. Scott Fitzgerald,"Saint Paul, USA",44.960.582.124.205.300,-931.372.984.075.783,1925,USA,5
29,The Nest,Cynthia D'aprix Sweeney,"Rochester, USA",4.317.357.835.354.020,-7.761.366.322.561.700,2016,USA,5
30,Muhammad Ali: His Life and Times,Thomas Hauser,"New York City, USA",4.061.171.771.741.720,-7.398.796.541.164.560,1991,USA,5
31,Die Memoiren des Grafen,Agatha Christie,"Torquay, GB-ENG",5.046.285.869.390.430,-3.528.650.119.905.020,1925,GBR,5
32,To the Lighthouse,Virginia Woolf,"London, GB-ENG",5.152.659.925.857.100,-1.139.950.691.281.670,1927,GBR,5
33,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared,Jonas Jonasson,"Växyö, SE",56.870.853.762.109.200,14.781.647.774.532.000,2012,SWE,5
34,Die sonderbare Buchhandlung des Mr. Penumbra,Robin Sloan,"Troy, USA",42.582.774.622.342.900,-8.318.204.063.578.100,2014,USA,5
35,The Hobbit,J. R. R. Tolkien,"Bloemfontein, ZA",-29.080.936.569.562.300,26.146.306.699.427.600,1937,ZAF,5
36,Alan Turing: The Enigma,Andrew Hodges,"London, GB-ENG",5.152.659.925.857.100,-1.139.950.691.281.670,1983,GBR,5
37,Das Mädchen mit dem Perlenohrring,Tracy Chevalier,"Washington D.C., USA",38.928.934.107.681.000,-7.700.428.780.263.450,2000,USA,5
38,Good as Gone,Amy Gentry,"Houston, USA",2.976.682.723.279.570,-954.040.889.504.182,2016,USA,5
39,Harry Potter à l'école des sorciers ,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,1997,GBR,5
40,Little Women,Louisa May Alcott,"Philadelphia, USA",3.999.189.323.504.440,-7.518.670.416.212.690,1868,USA,5
41,Jane Eyre,Charlotte Brontë,"Bradford, GB-ENG",537.912.979.417.901,-18.079.209.851.576.500,1847,GBR,5
42,Zurück zu dir,Marc Levy,"Boulogne-Billancourt, FR",48.839.635.831.535.700,22.422.140.294.179.500,2005,FRA,5
43,Eine englische Ehe ,Claire Fuller,-,,,2017,-,5
45,Moon Palace,Paul Auster,"Newark, USA",407.375.058.958.407,-7.418.034.159.385.630,1989,USA,5
46,Body and Soul,Frank Conroy,"New York City, USA",4.061.171.771.741.720,-7.398.796.541.164.560,1993,USA,5
47,A million little pieces,James Frey,"Cleveland, USA",4.152.932.499.782.900,-8.175.530.950.475.770,2003,USA,5
48,Bridge of clay,Markus Zusak,"Sydney, AU",-3.384.336.462.180.380,15.131.919.771.806.300,2018,AUS,5
49,"It's not how good you are, it's how good you want to be",Paul Arden,-,,,2007,-,5
50,"Whatever You Think, Think The Opposite",Paul Arden,-,,,2006,-,5
51,Stay with me,Ayọ̀bámi Adébáyọ̀,"Lagos, NG",6.529.616.903.794.390,33.828.222.494.951.700,2017,NGA,5
52,Stolz und Vorurteil,Jane Austen,"Steventon, GB-ENG",5.122.855.091.083.140,-12.260.141.206.051.500,1813,GBR,5
53,Whiteout,Ken Follet,"Cardiff, GB-WLS",5.149.281.555.432.800,-32.095.155.436.667.600,2004,GBR,5
54,The Rosie Project,Graeme Simsion,-,,,2014,-,5
55,The Rosie Effect,Graeme Simsion,-,,,2014,-,5
56,The Rosie Result,Graeme Simsion,-,,,2019,-,5
57,The Circle,Dave Eggers,"Boston, USA",4.233.101.821.439.850,-7.099.982.070.501.960,2013,USA,5
58,The perfect girl,Gilly Macmillan,-,,,2016,-,5
59,Mitternachtskinder,Salman Rushdie,"Mumbai, IN",190.950.169.793.139,7.277.538.756.197.110,2013,IND,5
60,Noch so eine Tatsache über die Welt,Brooke Davis,"Bellbrae, AU",-3.839.092.845.032.170,14.426.415.585.968.300,2015,AUS,5
61,Michelangelo,Irving Stone,"San Francisco, USA",3.775.876.500.690.790,-1.225.224.036.321.840,1961,USA,5
62,the sun and her flowers,Rupi Kaur,"Punjab, IN",30.286.593.027.463.300,751.598.853.213.246,2017,IND,5
63,Very good lives: The Fringe Benefits of Failure and Importance of Imagination,J.K. Rowling,"Yate, GB-ENG",51.544.207.212.180.300,-241.498.861.213.314,2015,GBR,5
64,I'll give you the sun,Jandy Nelson,-,,,2014,-,5
